chunk_index,matched_rules_count,matched_rules,text_preview
20,1,"[""DREAM_RULE""]","i have a dream that one day every valley shall be exalted, and every hill and mountain shall be made low, the rough places will be made plain, and the crooked places will be made straight; ""and the glory of the lord shall be revealed and all flesh sh"
21,1,"[""HOPE_RULE""]","this is our hope, and this is the faith that i go back to the south with."
22,3,"[""FREEDOM_RULE"", ""HOPE_RULE"", ""PEOPLE_RULE""]","with this faith, we will be able to hew out of the mountain of despair a stone of hope. with this faith, we will be able to transform the jangling discords of our nation into a beautiful symphony of brotherhood. with this faith, we will be able to wo"
23,1,"[""PEOPLE_RULE""]",and this will be the day -- this will be the day when all of god's children will be able to sing with new meaning:
24,2,"[""FREEDOM_RULE"", ""REPETITION_RULE""]","my country 'tis of thee, sweet land of liberty, of thee i sing. land where my fathers died, land of the pilgrim's pride,    from every mountainside, let freedom ring!"
25,1,"[""PEOPLE_RULE""]","and if america is to be a great nation, this must become true."
26,2,"[""FREEDOM_RULE"", ""REPETITION_RULE""]",and so let freedom ring from the prodigious hilltops of new hampshire.
27,3,"[""FREEDOM_RULE"", ""LOCATION_RULE"", ""REPETITION_RULE""]",let freedom ring from the mighty mountains of new york.
28,2,"[""FREEDOM_RULE"", ""REPETITION_RULE""]",let freedom ring from the heightening alleghenies of pennsylvania.
29,2,"[""FREEDOM_RULE"", ""REPETITION_RULE""]",let freedom ring from the snow-capped rockies of colorado.
30,3,"[""FREEDOM_RULE"", ""LOCATION_RULE"", ""REPETITION_RULE""]",let freedom ring from the curvaceous slopes of california.
31,0,[],but not only that:
32,3,"[""FREEDOM_RULE"", ""LOCATION_RULE"", ""REPETITION_RULE""]",let freedom ring from stone mountain of georgia.
33,2,"[""FREEDOM_RULE"", ""REPETITION_RULE""]",let freedom ring from lookout mountain of tennessee.
34,3,"[""FREEDOM_RULE"", ""LOCATION_RULE"", ""REPETITION_RULE""]",let freedom ring from every hill and molehill of mississippi.
35,3,"[""FREEDOM_RULE"", ""REPETITION_RULE"", ""PEOPLE_RULE""]","from every mountainside, let freedom ring.
and when this happens, and when we allow freedom ring, when we let it ring from every village and every hamlet, from every state and every city, we will be able to speed up that day when all of god's childre"
36,0,[],free at last! free at last!
37,0,[],"thank god almighty, we are free at last!3"
